date,avg
2016-02-25,18.00
2016-02-26,18.00
2016-02-27,17.00
2016-02-28,18.00
2016-02-29,18.00
2016-03-01,18.00
2016-03-02,18.00
2016-03-04,18.00
2016-03-05,19.00
2016-03-06,18.00
2016-03-07,17.00
2016-03-08,17.00
2016-03-09,18.00
2016-03-10,18.00
2016-03-11,18.00
2016-03-12,18.00
2016-03-13,18.00
2016-03-15,18.00
2016-03-16,18.00
2016-03-17,18.00
2016-03-18,18.00
2016-03-19,18.00
2016-03-20,18.00
2016-03-21,18.00
2016-03-22,17.00
2016-03-23,18.00
2016-03-24,18.00
2016-03-25,18.00
2016-03-26,19.00
2016-03-27,18.00
2016-03-28,18.00
2016-03-29,18.00
2016-03-30,18.00
2016-03-31,18.00
2016-04-01,18.00
2016-04-02,16.00
2016-04-03,18.00
2016-04-04,18.00
2016-04-05,18.00
2016-04-06,18.00
2016-04-07,18.00
2016-04-08,20.00
2016-04-09,20.00
2016-04-10,18.00
2016-04-11,18.00
2016-04-12,21.00
2016-04-13,21.00
2016-04-14,28.00
2016-04-15,28.00
2016-04-16,27.00
2016-04-17,25.00
2016-04-18,25.00
2016-04-19,18.00
2016-04-20,18.00
2016-04-21,22.00
2016-04-22,19.00
2016-04-23,23.00
2016-04-24,25.00
2016-04-25,28.00
2016-04-26,28.00
2016-04-27,30.00
2016-04-28,30.00
2016-04-29,38.00
2016-04-30,38.00
2016-05-01,35.00
2016-05-02,33.00
2016-05-03,33.00
2016-05-04,33.00
2016-05-05,33.00
2016-05-06,34.00
2016-05-07,33.00
2016-05-08,28.00
2016-05-09,33.00
2016-05-10,33.00
2016-05-11,28.00
2016-05-12,28.00
2016-05-13,35.00
2016-05-14,36.00
2016-05-15,35.00
2016-05-16,35.00
2016-05-17,28.00
2016-05-18,28.00
2016-05-19,28.00
2016-05-20,28.00
2016-05-21,38.00
2016-05-22,28.00
2016-05-23,28.00
2016-05-24,27.00
2016-05-25,22.00
2016-05-26,22.00
2016-05-27,22.00
2016-05-28,30.00
2016-05-29,22.00
2016-05-30,22.00
2016-05-31,22.00
2016-06-01,23.00
2016-06-02,28.00
2016-06-03,28.00
2016-06-04,29.00
2016-06-05,28.00
2016-06-06,28.00
2016-06-07,33.00
2016-06-08,33.00
2016-06-09,33.00
2016-06-10,33.00
2016-06-11,34.00
2016-06-12,33.00
2016-06-13,33.00
2016-06-14,33.00
2016-06-15,33.00
2016-06-16,33.00
2016-06-17,33.00
2016-06-18,33.00
2016-06-19,35.00
2016-06-20,35.00
2016-06-21,35.00
2016-06-22,35.00
2016-06-23,35.00
2016-06-24,35.00
2016-06-25,33.00
2016-06-26,38.00
2016-06-27,38.00
2016-06-28,33.00
2016-06-29,37.00
2016-06-30,35.00
2016-07-01,33.00
2016-07-02,49.00
2016-07-03,38.00
2016-07-04,55.00
2016-07-05,45.00
2016-07-06,45.00
2016-07-07,45.00
2016-07-08,45.00
2016-07-09,46.00
2016-07-10,48.00
2016-07-11,42.00
2016-07-12,45.00
2016-07-13,48.00
2016-07-14,38.00
2016-07-15,38.00
2016-07-16,38.00
2016-07-17,33.00
2016-07-18,33.00
2016-07-19,33.00
2016-07-20,33.00
2016-07-21,33.00
2016-07-22,29.00
2016-07-23,29.00
2016-07-24,28.00
2016-07-25,28.00
2016-07-26,22.00
2016-07-27,22.00
2016-07-28,22.00
2016-07-29,22.00
2016-07-30,24.00
2016-07-31,22.00
2016-08-01,25.00
2016-08-02,22.00
2016-08-03,33.00
2016-08-04,33.00
2016-08-05,33.00
2016-08-06,33.00
2016-08-07,33.00
2016-08-08,33.00
2016-08-09,33.00
2016-08-10,33.00
2016-08-11,33.00
2016-08-12,33.00
2016-08-13,33.00
2016-08-14,33.00
2016-08-15,33.00
2016-08-16,33.00
2016-08-17,33.00
2016-08-18,33.00
2016-08-19,33.00
2016-08-20,30.00
2016-08-21,28.00
2016-08-22,22.00
2016-08-23,22.00
2016-08-24,22.00
2016-08-25,23.00
2016-08-26,22.00
2016-08-27,23.00
2016-08-28,22.00
2016-08-29,22.00
2016-08-30,23.00
2016-08-31,22.00
2016-09-01,28.00
2016-09-02,28.00
2016-09-03,26.00
2016-09-04,22.00
2016-09-05,28.00
2016-09-06,28.00
2016-09-07,28.00
2016-09-08,32.00
2016-09-09,19.00
2016-09-10,19.00
2016-09-11,19.00
2016-09-12,19.00
2016-09-13,22.00
2016-09-14,22.00
2016-09-15,22.00
2016-09-16,22.00
2016-09-17,22.00
2016-09-18,22.00
2016-09-19,22.00
2016-09-20,22.00
2016-09-21,22.00
2016-09-22,22.00
2016-09-23,22.00
2016-09-24,22.00
2016-09-25,22.00
2016-09-26,22.00
2016-09-27,22.00
2016-09-28,22.00
2016-09-29,22.00
2016-09-30,22.00
2016-10-01,23.00
2016-10-02,22.00
2016-10-03,28.00
2016-10-04,28.00
2016-10-05,28.00
2016-10-06,28.00
2016-10-07,22.00
2016-10-08,28.00
2016-10-09,22.00
2016-10-10,28.00
2016-10-11,28.00
2016-10-12,28.00
2016-10-13,28.00
2016-10-14,28.00
2016-10-15,28.00
2016-10-16,28.00
2016-10-17,28.00
2016-10-18,30.00
2016-10-19,28.00
2016-10-20,26.00
2016-10-21,28.00
2016-10-22,28.00
2016-10-23,28.00
2016-10-24,28.00
2016-10-25,52.00
2016-10-26,52.00
2016-10-27,48.00
2016-10-28,48.00
2016-10-29,46.00
2016-10-30,42.00
2016-10-31,33.00
2016-11-01,33.00
2016-11-02,52.00
2016-11-03,58.00
2016-11-04,53.00
2016-11-05,56.00
2016-11-06,53.00
2016-11-07,42.00
2016-11-08,52.00
2016-11-09,52.00
2016-11-10,55.00
2016-11-11,62.00
2016-11-12,58.00
2016-11-13,52.00
2016-11-14,48.00
2016-11-15,48.00
2016-11-16,48.00
2016-11-17,48.00
2016-11-18,48.00
2016-11-19,48.00
2016-11-20,42.00
2016-11-21,38.00
2016-11-22,35.00
2016-11-23,28.00
2016-11-24,22.00
2016-11-25,28.00
2016-11-26,28.00
2016-11-27,28.00
2016-11-28,28.00
2016-11-29,28.00
2016-11-30,28.00
2016-12-01,28.00
2016-12-02,28.00
2016-12-03,28.00
2016-12-04,28.00
2016-12-05,33.00
2016-12-06,28.00
2016-12-07,28.00
2016-12-08,28.00
2016-12-09,28.00
2016-12-10,28.00
2016-12-11,28.00
2016-12-12,28.00
2016-12-13,28.00
2016-12-14,22.00
2016-12-15,22.00
2016-12-16,24.00
2016-12-17,22.00
2016-12-18,28.00
2016-12-19,28.00
2016-12-20,28.00
2016-12-21,28.00
2016-12-22,28.00
2016-12-23,22.00
2016-12-24,20.00
2016-12-25,19.00
2016-12-26,21.00
2016-12-27,19.00
2016-12-28,19.00
2016-12-29,19.00
2016-12-30,19.00
2016-12-31,19.00
2017-01-01,19.00
2017-01-02,19.00
2017-01-03,19.00
2017-01-04,19.00
2017-01-05,19.00
2017-01-06,19.00
2017-01-07,19.00
2017-01-08,19.00
2017-01-09,18.00
2017-01-10,18.00
2017-01-11,18.00
2017-01-12,22.00
2017-01-13,22.00
2017-01-14,21.00
2017-01-15,22.00
2017-01-16,21.00
2017-01-17,21.00
2017-01-18,35.00
2017-01-19,19.00
2017-01-20,16.00
2017-01-21,19.00
2017-01-22,18.00
2017-01-23,18.00
2017-01-24,18.00
2017-01-25,18.00
2017-01-26,18.00
2017-01-27,18.00
2017-01-28,17.00
2017-01-29,17.00
2017-01-30,16.00
2017-01-31,21.00
2017-02-01,19.00
2017-02-02,19.00
2017-02-03,16.00
2017-02-04,16.00
2017-02-05,16.00
2017-02-06,12.00
2017-02-07,11.00
2017-02-08,12.00
2017-02-09,13.00
2017-02-10,13.00
2017-02-11,12.00
2017-02-12,18.00
2017-02-13,16.00
2017-02-14,18.00
2017-02-15,16.00
2017-02-16,16.00
2017-02-17,16.00
2017-02-18,16.00
2017-02-19,13.00
2017-02-20,11.00
2017-02-21,11.00
2017-02-22,11.00
2017-02-23,11.00
2017-02-25,11.00
2017-02-26,13.00
2017-02-27,11.00
2017-02-28,11.00
2017-03-01,11.00
2017-03-02,11.00
2017-03-04,15.00
2017-03-05,11.00
2017-03-06,11.00
2017-03-07,11.00
2017-03-08,13.00
2017-03-09,11.00
2017-03-10,11.00
2017-03-11,19.00
2017-03-13,21.00
2017-03-14,19.00
2017-03-15,19.00
2017-03-16,18.00
2017-03-17,19.00
2017-03-18,19.00
2017-03-19,19.00
2017-03-20,13.00
2017-03-21,11.00
2017-03-22,11.00
2017-03-23,11.00
2017-03-24,11.00
2017-03-25,12.00
2017-03-26,11.00
2017-03-27,11.00
2017-03-28,11.00
2017-03-29,12.00
2017-03-30,11.00
2017-03-31,11.00
2017-04-01,11.00
2017-04-02,11.00
2017-04-03,11.00
2017-04-04,11.00
2017-04-05,11.00
2017-04-06,11.00
2017-04-07,11.00
2017-04-08,14.00
2017-04-09,11.00
2017-04-10,12.00
2017-04-11,13.00
2017-04-12,11.00
2017-04-13,11.00
2017-04-14,12.00
2017-04-15,15.00
2017-04-16,11.00
2017-04-17,13.00
2017-04-18,11.00
2017-04-19,11.00
2017-04-20,11.00
2017-04-21,11.00
2017-04-22,12.00
2017-04-23,11.00
2017-04-24,11.00
2017-04-25,11.00
2017-04-26,12.00
2017-04-27,11.00
2017-04-28,11.00
2017-04-29,12.00
2017-04-30,11.00
2017-05-01,12.00
2017-05-02,19.00
2017-05-03,12.00
2017-05-04,13.00
2017-05-05,14.00
2017-05-06,13.00
2017-05-07,13.00
2017-05-08,11.00
2017-05-09,11.00
2017-05-10,11.00
2017-05-11,13.00
2017-05-12,14.00
2017-05-13,17.00
2017-05-15,26.00
2017-05-16,24.00
2017-05-17,18.00
2017-05-18,13.00
2017-05-19,18.00
2017-05-20,18.00
2017-05-21,13.00
2017-05-22,13.00
2017-05-23,13.00
2017-05-24,13.00
2017-05-25,13.00
2017-05-26,13.00
2017-05-27,13.00
2017-05-28,13.00
2017-05-29,13.00
2017-05-30,14.00
2017-05-31,13.00
2017-06-01,13.00
2017-06-02,16.00
2017-06-03,16.00
2017-06-04,19.00
2017-06-05,19.00
2017-06-06,19.00
2017-06-07,16.00
2017-06-08,18.00
2017-06-09,19.00
2017-06-10,18.00
2017-06-11,13.00
2017-06-12,14.00
2017-06-13,14.00
2017-06-14,15.00
2017-06-15,15.00
2017-06-16,17.00
2017-06-17,18.00
2017-06-18,17.00
2017-06-19,18.00
2017-06-20,14.00
2017-06-21,18.00
2017-06-22,18.00
2017-06-23,19.00
2017-06-24,19.00
2017-06-25,19.00
2017-06-26,19.00
2017-06-27,18.00
2017-06-28,19.00
2017-06-29,19.00
2017-06-30,19.00
2017-07-01,19.00
2017-07-02,19.00
2017-07-03,19.00
2017-07-04,18.00
2017-07-05,18.00
2017-07-06,18.00
2017-07-07,11.00
2017-07-08,11.00
2017-07-09,19.00
2017-07-10,18.00
2017-07-11,18.00
2017-07-12,18.00
2017-07-13,13.00
2017-07-14,18.00
2017-07-15,13.00
2017-07-16,13.00
2017-07-17,14.00
2017-07-18,13.00
2017-07-19,18.00
2017-07-20,13.00
2017-07-21,18.00
2017-07-22,18.00
2017-07-23,13.00
2017-07-24,13.00
2017-07-25,13.00
